Channel 1 (V),Channel 2 (V),Math 1 (mA)
-4.8601281657013322,-0.0019779385992242382,-0.0089906299964738097
-4.8638277587456908,-0.0019779385992242382,-0.0089906299964738097
-4.8638277587456908,-0.0023128619462675225,-0.010513008846670557
-4.8712269448344072,-0.0019779385992242382,-0.0089906299964738097
-4.8712269448344072,-0.0019779385992242382,-0.0089906299964738097
-4.8712269448344072,-0.0023128619462676747,-0.01051300884667125
-4.8749265378787641,-0.0019779385992243904,-0.0089906299964745019
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8786261309231245,-0.0019779385992242382,-0.0089906299964738097
-4.8823257239674804,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118408,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118408,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118408,-0.0019779385992242382,-0.0089906299964738097
-4.8934245031005545,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.9082228752779917,-0.0023128619462676747,-0.01051300884667125
-4.9082228752779917,-0.0019779385992242382,-0.0089906299964738097
-4.9119224683223495,-0.0019779385992243904,-0.0089906299964745019
-4.9119224683223495,-0.0023128619462676747,-0.01051300884667125
-4.9156220613667081,-0.0019779385992242382,-0.0089906299964738097
-4.9193216544110667,-0.0023128619462676747,-0.01051300884667125
-4.9230212474554254,-0.0019779385992242382,-0.0089906299964738097
-4.9230212474554254,-0.0019779385992242382,-0.0089906299964738097
-4.9267208404997831,-0.0019779385992242382,-0.0089906299964738097
-4.9267208404997831,-0.0019779385992242382,-0.0089906299964738097
-4.9304204335441435,-0.0023128619462676747,-0.01051300884667125
-4.9341200265885004,-0.0023128619462676747,-0.01051300884667125
-4.9378196196328581,-0.0023128619462676747,-0.01051300884667125
-4.9378196196328581,-0.0023128619462676747,-0.01051300884667125
-4.9415192126772167,-0.0019779385992243904,-0.0089906299964745019
-4.9415192126772167,-0.0023128619462676747,-0.01051300884667125
-4.9452188057215754,-0.0023128619462676747,-0.01051300884667125
-4.948918398765934,-0.0023128619462676747,-0.01051300884667125
-4.9526179918102917,-0.0023128619462676747,-0.01051300884667125
-4.9526179918102917,-0.0023128619462676747,-0.01051300884667125
-4.960017177899009,-0.0023128619462676747,-0.01051300884667125
-4.960017177899009,-0.0019779385992242382,-0.0089906299964738097
-4.9637167709433676,-0.0023128619462676747,-0.01051300884667125
-4.9637167709433676,-0.0023128619462676747,-0.01051300884667125
-4.9674163639877253,-0.0019779385992242382,-0.0089906299964738097
-4.9674163639877253,-0.0019779385992242382,-0.0089906299964738097
-4.9748155500764426,-0.0023128619462675225,-0.010513008846670557
-4.9748155500764426,-0.0019779385992242382,-0.0089906299964738097
-4.9785151431208012,-0.0019779385992242382,-0.0089906299964738097
-4.9785151431208012,-0.0019779385992242382,-0.0089906299964738097
-4.9859143292095176,-0.0023128619462675225,-0.010513008846670557
-4.9859143292095176,-0.0019779385992242382,-0.0089906299964738097
-4.9896139222538762,-0.0019779385992242382,-0.0089906299964738097
-4.9933135152982349,-0.0023128619462676747,-0.01051300884667125
-4.9933135152982331,-0.0023128619462675225,-0.010513008846670557
-4.9896139222538762,-0.0019779385992242382,-0.0089906299964738097
-4.9896139222538762,-0.0023128619462676747,-0.01051300884667125
-4.9859143292095176,-0.0019779385992242382,-0.0089906299964738097
-4.9822147361651572,-0.0023128619462675225,-0.010513008846670557
-4.9785151431208012,-0.0019779385992242382,-0.0089906299964738097
-4.9785151431208012,-0.0023128619462676747,-0.01051300884667125
-4.9748155500764426,-0.0023128619462676747,-0.01051300884667125
-4.971115957032084,-0.0019779385992242382,-0.0089906299964738097
-4.971115957032084,-0.0019779385992242382,-0.0089906299964738097
-4.9674163639877253,-0.0023128619462676747,-0.01051300884667125
-4.9637167709433676,-0.0019779385992242382,-0.0089906299964738097
-4.9637167709433676,-0.0023128619462676747,-0.01051300884667125
-4.960017177899009,-0.0023128619462676747,-0.01051300884667125
-4.9563175848546503,-0.0023128619462676747,-0.01051300884667125
-4.9563175848546503,-0.0023128619462676747,-0.01051300884667125
-4.9526179918102917,-0.0023128619462676747,-0.01051300884667125
-4.9563175848546503,-0.0023128619462676747,-0.01051300884667125
-4.9526179918102917,-0.0023128619462676747,-0.01051300884667125
-4.948918398765934,-0.0023128619462676747,-0.01051300884667125
-4.948918398765934,-0.0023128619462676747,-0.01051300884667125
-4.9452188057215754,-0.0023128619462676747,-0.01051300884667125
-4.9452188057215754,-0.0023128619462676747,-0.01051300884667125
-4.9415192126772167,-0.0023128619462676747,-0.01051300884667125
-4.9415192126772167,-0.0019779385992242382,-0.0089906299964738097
-4.9341200265885039,-0.0019779385992242382,-0.0089906299964738097
-4.9341200265885004,-0.0019779385992242382,-0.0089906299964738097
-4.9304204335441417,-0.0023128619462676747,-0.01051300884667125
-4.9267208404997831,-0.0023128619462676747,-0.01051300884667125
-4.9230212474554271,-0.0019779385992243904,-0.0089906299964745019
-4.9230212474554254,-0.0019779385992242382,-0.0089906299964738097
-4.9193216544110667,-0.0019779385992242382,-0.0089906299964738097
-4.9156220613667081,-0.0019779385992242382,-0.0089906299964738097
-4.9156220613667081,-0.0023128619462675225,-0.010513008846670557
-4.9119224683223495,-0.0019779385992242382,-0.0089906299964738097
-4.9082228752779917,-0.0019779385992242382,-0.0089906299964738097
-4.9082228752779917,-0.0019779385992242382,-0.0089906299964738097
-4.9045232822336349,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.8934245031005599,-0.0019779385992242382,-0.0089906299964738097
-4.8934245031005581,-0.0019779385992242382,-0.0089906299964738097
-4.8897249100561995,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118408,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118408,-0.0019779385992242382,-0.0089906299964738097
-4.8823257239674822,-0.0019779385992242382,-0.0089906299964738097
-4.8786261309231245,-0.0019779385992242382,-0.0089906299964738097
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8712269448344072,-0.0019779385992242382,-0.0089906299964738097
-4.8675273517900486,-0.0023128619462676747,-0.01051300884667125
-4.8638277587456908,-0.0023128619462676747,-0.01051300884667125
-4.8638277587456908,-0.0019779385992243904,-0.0089906299964745019
-4.8601281657013322,-0.0023128619462676747,-0.01051300884667125
-4.8601281657013322,-0.0019779385992242382,-0.0089906299964738097
-4.852728979612615,-0.0023128619462676747,-0.01051300884667125
-4.852728979612615,-0.0019779385992243904,-0.0089906299964745019
-4.8490293865682572,-0.0019779385992242382,-0.0089906299964738097
-4.8490293865682572,-0.0019779385992242382,-0.0089906299964738097
-4.8453297935238986,-0.0023128619462676747,-0.01051300884667125
-4.8453297935238986,-0.0023128619462676747,-0.01051300884667125
-4.8379306074351813,-0.0019779385992242382,-0.0089906299964738097
-4.8379306074351813,-0.0019779385992242382,-0.0089906299964738097
-4.8342310143908236,-0.0019779385992242382,-0.0089906299964738097
-4.8342310143908218,-0.0019779385992242382,-0.0089906299964738097
-4.830531421346465,-0.0019779385992242382,-0.0089906299964738097
-4.830531421346465,-0.0019779385992242382,-0.0089906299964738097
-4.8268318283021063,-0.0019779385992242382,-0.0089906299964738097
-4.8268318283021046,-0.0019779385992242382,-0.0089906299964738097
-4.8231322352577477,-0.0019779385992242382,-0.0089906299964738097
-4.8231322352577477,-0.0019779385992242382,-0.0089906299964738097
-4.81943264221339,-0.0019779385992242382,-0.0089906299964738097
-4.8194326422133864,-0.0019779385992242382,-0.0089906299964738097
-4.8120334561246727,-0.0019779385992242382,-0.0089906299964738097
-4.8120334561246727,-0.0019779385992242382,-0.0089906299964738097
-4.8046342700359563,-0.0019779385992242382,-0.0089906299964738097
-4.8083338630803123,-0.0019779385992242382,-0.0089906299964738097
-4.8046342700359563,-0.0019779385992242382,-0.0089906299964738097
-4.8046342700359563,-0.0023128619462676747,-0.01051300884667125
-4.8009346769915977,-0.0019779385992242382,-0.0089906299964738097
-4.7972350839472373,-0.0019779385992242382,-0.0089906299964738097
-4.7935354909028813,-0.0019779385992242382,-0.0089906299964738097
-4.7935354909028813,-0.0019779385992242382,-0.0089906299964738097
-4.7972350839472391,-0.0019779385992242382,-0.0089906299964738097
-4.7898358978585209,-0.0023128619462675225,-0.010513008846670557
-4.7861363048141641,-0.0019779385992242382,-0.0089906299964738097
-4.7861363048141641,-0.0023128619462676747,-0.01051300884667125
-4.7824367117698054,-0.0023128619462676747,-0.01051300884667125
-4.7787371187254477,-0.0023128619462675225,-0.010513008846670557
-4.7787371187254477,-0.0019779385992242382,-0.0089906299964738097
-4.7750375256810891,-0.0019779385992242382,-0.0089906299964738097
-4.7713379326367305,-0.0023128619462676747,-0.01051300884667125
-4.7713379326367287,-0.0023128619462675225,-0.010513008846670557
-4.7676383395923718,-0.0019779385992242382,-0.0089906299964738097
-4.7639387465480141,-0.0019779385992242382,-0.0089906299964738097
-4.7639387465480141,-0.0023128619462676747,-0.01051300884667125
-4.7602391535036555,-0.0023128619462676747,-0.01051300884667125
-4.7602391535036555,-0.0023128619462676747,-0.01051300884667125
-4.7528399674149382,-0.0023128619462676747,-0.01051300884667125
-4.7528399674149382,-0.0023128619462676747,-0.01051300884667125
-4.7491403743705805,-0.0023128619462675225,-0.010513008846670557
-4.7491403743705805,-0.0019779385992242382,-0.0089906299964738097
-4.7454407813262218,-0.0023128619462676747,-0.01051300884667125
-4.7454407813262218,-0.0023128619462676747,-0.01051300884667125
-4.7417411882818632,-0.0019779385992242382,-0.0089906299964738097
-4.7417411882818632,-0.0019779385992242382,-0.0089906299964738097
-4.7343420021931468,-0.0023128619462676747,-0.01051300884667125
-4.7380415952375046,-0.0023128619462676747,-0.01051300884667125
-4.7306424091487882,-0.0023128619462676747,-0.01051300884667125
-4.7306424091487882,-0.0023128619462676747,-0.01051300884667125
-4.7269428161044296,-0.0023128619462676747,-0.01051300884667125
